,municipio,Cod_mun,departamento,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
108,Lanquín,1611,Alta Verapaz,23128.143,23860.1247,24612.2302,25381.3675,26164.4776,26958.464,27765.1983,28586.5296,29419.3683,30260.6141,31107.1503
109,Las Cruces,1713,Petén,0,0,0,34280.9952,35364.3063,36487.9981,37602.4282,38706.1459,39801.1895,40889.7916,41974.2043
110,Livingston,1802,Izabal,61580.285,63008.281,64460.2643,65928.548,67405.54,68883.6926,70366.759,71858.4663,73351.264,74837.628,76310.133
111,Los Amates,1805,Izabal,62307.282,62934.301,63558.5962,64172.3952,64768.3584,65339.5621,65890.0655,66423.6739,66933.743,67413.999,67858.583
112,Magdalena Milpas Altas,310,Sacatepéquez,10436.2734,10653.6244,10871.0304,11087.5822,11302.3843,11514.5505,11724.5394,11932.8242,12138.5069,12340.7141,12538.5665
113,Malacatán,1215,San Marcos,98320.388,101674.976,105177.96,108794.985,112490.329,116226.724,120029.589,123925.535,127876.595,131843.256,135784.651
114,Malacatancito,1303,Huehuetenango,20145.2985,20633.6026,21127.9621,21622.1093,22109.8197,22584.9406,23051.3226,23512.7924,23963.2441,24396.6188,24806.9556
115,Masagua,505,Escuintla,42745.3775,43839.3934,44936.7847,46032.9175,47123.0518,48202.454,49273.7269,50339.5192,51395.0765,52435.563,53456.088
116,Mataquescuintla,2107,Jalapa,41011.4945,42041.1614,43112.909,44219.0813,45352.0673,46504.3598,47680.5057,48885.0384,50110.456,51349.3258,52594.2904
117,Mazatenango,1001,Suchitepéquez,88332.738,91140.168,94054.099,97058.862,100138.41,103276.241,106483.989,109773.833,113128.903,116531.717,119964.338
118,Melchor,1711,Petén,21588.1621,21723.6676,21821.6339,21885.9606,21920.2562,21927.8234,21909.292,21865.3422,21798.9881,21712.9609,21609.7891
119,Mixco,108,Guatemala,474421.258,479237.599,483705.082,487829.885,491618.962,495079.19,498211.381,501017.212,503503.982,505678.82,507549.43
120,Momostenango,805,Totonicapán,120741.844,124682.196,128727.506,132853.805,137036.93,141252.599,145515.42,149840.234,154202.548,158577.73,162941.089
121,Monjas,2106,Jalapa,23961.2805,24343.3121,24740.7352,25148.6889,25562.4879,25977.6611,26396.5698,26821.4995,27248.0652,27672.1256,28089.6689
122,Morales,1804,Izabal,109847.473,112548.635,115299.833,118087.613,120898.382,123718.716,126555.41,129415.185,132284.507,135149.819,137997.635
123,Morazán,202,El Progreso,11751.2257,11901.906,12063.7662,12233.4042,12407.431,12582.5186,12760.8171,12944.4672,13130.1443,13314.5733,13494.5188
124,Moyuta,2214,Jutiapa,55659.5564,20507.7704,39024.9426,39715.7187,40435.0307,41167.9371,41923.7474,42711.6442,43516.7224,44324.2035,45119.5023
125,Nahualá,705,Sololá,64000.189,65180.7664,66348.4668,67495.8706,68615.941,69701.97,70757.2597,71785.1248,72779.0328,73732.896,74640.8559
126,Nebaj,1413,Quiché,79036.1,82100.5909,85271.8027,88542.3597,91904.7856,95351.5258,98887.7349,102518.7725,106236.856,110033.896,113901.742
127,Nentón,1305,Huehuetenango,41613.6121,43055.603,44535.3888,46040.3534,47557.4674,49073.3102,50595.8965,52133.4619,53672.3908,55198.5658,56697.5838
128,Nueva Concepción,513,Escuintla,62911.564,63159.1478,63372.9904,63547.9083,63679.0635,63762.1259,63802.7694,63806.327,63768.5714,63685.642,63554.057
129,Nueva Santa Rosa,614,Santa Rosa,31043.6024,31481.6996,31955.8049,32456.0668,32972.7649,33496.3388,34032.681,34587.6099,35151.6247,35715.4063,36269.7775
